ConcatUF+Mun;IBGE;IBGE7;UF;Município;Região;População 2010;Porte;Capital;
ROAlta Floresta D'oeste;110001;1100015;RO;Alta Floresta D´oeste;Região Norte;24392;Pequeno II;;"PROCV(A2;'[Lista de Municípios com IBGE - Brasil.xlsx]Lista de Municípios IBGE'!$A$2:$G$5566;4;0)"
ROAriquemes;110002;1100023;RO;Ariquemes;Região Norte;90353;Médio;;"PROCV(A2;'Lista de Municípios IBGE'!$A$2:$G$5566;4;0)"
ROCabixi;110003;1100031;RO;Cabixi;Região Norte;6313;Pequeno I;;
ROCacoal;110004;1100049;RO;Cacoal;Região Norte;78574;Médio;;
ROCerejeiras;110005;1100056;RO;Cerejeiras;Região Norte;17029;Pequeno I;;
ROColorado do Oeste;110006;1100064;RO;Colorado do Oeste;Região Norte;18591;Pequeno I;;
ROCorumbiara;110007;1100072;RO;Corumbiara;Região Norte;8783;Pequeno I;;
ROCosta Marques;110008;1100080;RO;Costa Marques;Região Norte;13678;Pequeno I;;
ROEspigão D'oeste;110009;1100098;RO;Espigão D´oeste;Região Norte;28729;Pequeno II;;
ROGuajará-mirim;110010;1100106;RO;Guajará-mirim;Região Norte;41656;Pequeno II;;
ROJaru;110011;1100114;RO;Jaru;Região Norte;52005;Médio;;
ROJi-paraná;110012;1100122;RO;Ji-paraná;Região Norte;116610;Grande;;
ROMachadinho D'oeste;110013;1100130;RO;Machadinho D´oeste;Região Norte;31135;Pequeno II;;
RONova Brasilândia D'oeste;110014;1100148;RO;Nova Brasilândia D´oeste;Região Norte;19874;Pequeno I;;
ROOuro Preto do Oeste;110015;1100155;RO;Ouro Preto do Oeste;Região Norte;37928;Pequeno II;;
ROPimenta Bueno;110018;1100189;RO;Pimenta Bueno;Região Norte;33822;Pequeno II;;
ROPorto Velho;110020;1100205;RO;Porto Velho;Região Norte;428527;Grande;Capital;
ROPresidente Médici;110025;1100254;RO;Presidente Médici;Região Norte;22319;Pequeno II;;
RORio Crespo;110026;1100262;RO;Rio Crespo;Região Norte;3316;Pequeno I;;
